type,saw_policy,population_size,random_k,alpha,beta,rho,p,local_information,min_max_ant_system,termination_criterion,iteration,instance,starting-time
algorithm,Constant-Weights(Gamma-1:3;Gamma-2:3;Gamma-3:3),50,5,1,1,0.02,0.5,objective_value,True,200,0,rand_test_13,20221231:12:17:31
algorithm,Constant-Weights(Gamma-1:3;Gamma-2:3;Gamma-3:3),50,5,1,1,0.02,0.5,distance,True,200,0,rand_test_13,20221231:12:24:49
algorithm,Constant-Weights(Gamma-1:3;Gamma-2:3;Gamma-3:3),50,5,1,1,0.02,0.75,objective_value,True,200,0,rand_test_13,20221231:12:30:09
algorithm,Constant-Weights(Gamma-1:3;Gamma-2:3;Gamma-3:3),50,5,1,1,0.02,0.75,distance,True,200,0,rand_test_13,20221231:12:37:34
algorithm,Constant-Weights(Gamma-1:3;Gamma-2:3;Gamma-3:3),50,5,1,1,0.02,0.25,objective_value,True,200,0,rand_test_13,20221231:12:43:30
algorithm,Constant-Weights(Gamma-1:3;Gamma-2:3;Gamma-3:3),50,5,1,1,0.02,0.25,distance,True,200,0,rand_test_13,20221231:12:51:04
algorithm,Constant-Weights(Gamma-1:3;Gamma-2:3;Gamma-3:3),50,5,1,1,0.06,0.5,objective_value,True,200,0,rand_test_13,20221231:12:56:50
algorithm,Constant-Weights(Gamma-1:3;Gamma-2:3;Gamma-3:3),50,5,1,1,0.06,0.5,distance,True,200,0,rand_test_13,20221231:13:04:04
algorithm,Constant-Weights(Gamma-1:3;Gamma-2:3;Gamma-3:3),50,5,1,1,0.06,0.75,objective_value,True,200,0,rand_test_13,20221231:13:09:24
algorithm,Constant-Weights(Gamma-1:3;Gamma-2:3;Gamma-3:3),50,5,1,1,0.06,0.75,distance,True,200,0,rand_test_13,20221231:13:16:45
algorithm,Constant-Weights(Gamma-1:3;Gamma-2:3;Gamma-3:3),50,5,1,1,0.06,0.25,objective_value,True,200,0,rand_test_13,20221231:13:22:04
algorithm,Constant-Weights(Gamma-1:3;Gamma-2:3;Gamma-3:3),50,5,1,1,0.06,0.25,distance,True,200,0,rand_test_13,20221231:13:29:18
algorithm,Constant-Weights(Gamma-1:3;Gamma-2:3;Gamma-3:3),50,5,1,1,0.12,0.5,objective_value,True,200,0,rand_test_13,20221231:13:34:41
algorithm,Constant-Weights(Gamma-1:3;Gamma-2:3;Gamma-3:3),50,5,1,1,0.12,0.5,distance,True,200,0,rand_test_13,20221231:13:42:35
algorithm,Constant-Weights(Gamma-1:3;Gamma-2:3;Gamma-3:3),50,5,1,1,0.12,0.75,objective_value,True,200,0,rand_test_13,20221231:13:47:55
algorithm,Constant-Weights(Gamma-1:3;Gamma-2:3;Gamma-3:3),50,5,1,1,0.12,0.75,distance,True,200,0,rand_test_13,20221231:13:55:16
algorithm,Constant-Weights(Gamma-1:3;Gamma-2:3;Gamma-3:3),50,5,1,1,0.12,0.25,objective_value,True,200,0,rand_test_13,20221231:14:00:49
algorithm,Constant-Weights(Gamma-1:3;Gamma-2:3;Gamma-3:3),50,5,1,1,0.12,0.25,distance,True,200,0,rand_test_13,20221231:14:08:51
algorithm,Constant-Weights(Gamma-1:3;Gamma-2:3;Gamma-3:3),50,5,1,1,0.24,0.5,objective_value,True,200,0,rand_test_13,20221231:14:14:34
algorithm,Constant-Weights(Gamma-1:3;Gamma-2:3;Gamma-3:3),50,5,1,1,0.24,0.5,distance,True,200,0,rand_test_13,20221231:14:21:56
algorithm,Constant-Weights(Gamma-1:3;Gamma-2:3;Gamma-3:3),50,5,1,1,0.24,0.75,objective_value,True,200,0,rand_test_13,20221231:14:27:52
algorithm,Constant-Weights(Gamma-1:3;Gamma-2:3;Gamma-3:3),50,5,1,1,0.24,0.75,distance,True,200,0,rand_test_13,20221231:14:35:42
algorithm,Constant-Weights(Gamma-1:3;Gamma-2:3;Gamma-3:3),50,5,1,1,0.24,0.25,objective_value,True,200,0,rand_test_13,20221231:14:40:53
algorithm,Constant-Weights(Gamma-1:3;Gamma-2:3;Gamma-3:3),50,5,1,1,0.24,0.25,distance,True,200,0,rand_test_13,20221231:14:48:07
algorithm,Constant-Weights(Gamma-1:3;Gamma-2:3;Gamma-3:3),50,5,1,0.5,0.02,0.5,objective_value,True,200,0,rand_test_13,20221231:14:54:18
algorithm,Constant-Weights(Gamma-1:3;Gamma-2:3;Gamma-3:3),50,5,1,0.5,0.02,0.5,distance,True,200,0,rand_test_13,20221231:15:00:52
algorithm,Constant-Weights(Gamma-1:3;Gamma-2:3;Gamma-3:3),50,5,1,0.5,0.02,0.75,objective_value,True,200,0,rand_test_13,20221231:15:06:12
algorithm,Constant-Weights(Gamma-1:3;Gamma-2:3;Gamma-3:3),50,5,1,0.5,0.02,0.75,distance,True,200,0,rand_test_13,20221231:15:12:34
algorithm,Constant-Weights(Gamma-1:3;Gamma-2:3;Gamma-3:3),50,5,1,0.5,0.02,0.25,objective_value,True,200,0,rand_test_13,20221231:15:17:51
algorithm,Constant-Weights(Gamma-1:3;Gamma-2:3;Gamma-3:3),50,5,1,0.5,0.02,0.25,distance,True,200,0,rand_test_13,20221231:15:24:41
algorithm,Constant-Weights(Gamma-1:3;Gamma-2:3;Gamma-3:3),50,5,1,0.5,0.06,0.5,objective_value,True,200,0,rand_test_13,20221231:15:30:47
algorithm,Constant-Weights(Gamma-1:3;Gamma-2:3;Gamma-3:3),50,5,1,0.5,0.06,0.5,distance,True,200,0,rand_test_13,20221231:15:37:39
algorithm,Constant-Weights(Gamma-1:3;Gamma-2:3;Gamma-3:3),50,5,1,0.5,0.06,0.75,objective_value,True,200,0,rand_test_13,20221231:15:42:52
algorithm,Constant-Weights(Gamma-1:3;Gamma-2:3;Gamma-3:3),50,5,1,0.5,0.06,0.75,distance,True,200,0,rand_test_13,20221231:15:49:48
algorithm,Constant-Weights(Gamma-1:3;Gamma-2:3;Gamma-3:3),50,5,1,0.5,0.06,0.25,objective_value,True,200,0,rand_test_13,20221231:15:55:29
algorithm,Constant-Weights(Gamma-1:3;Gamma-2:3;Gamma-3:3),50,5,1,0.5,0.06,0.25,distance,True,200,0,rand_test_13,20221231:16:02:32
algorithm,Constant-Weights(Gamma-1:3;Gamma-2:3;Gamma-3:3),50,5,1,0.5,0.12,0.5,objective_value,True,200,0,rand_test_13,20221231:16:08:10
algorithm,Constant-Weights(Gamma-1:3;Gamma-2:3;Gamma-3:3),50,5,1,0.5,0.12,0.5,distance,True,200,0,rand_test_13,20221231:16:14:34
algorithm,Constant-Weights(Gamma-1:3;Gamma-2:3;Gamma-3:3),50,5,1,0.5,0.12,0.75,objective_value,True,200,0,rand_test_13,20221231:16:20:04
algorithm,Constant-Weights(Gamma-1:3;Gamma-2:3;Gamma-3:3),50,5,1,0.5,0.12,0.75,distance,True,200,0,rand_test_13,20221231:16:26:17
algorithm,Constant-Weights(Gamma-1:3;Gamma-2:3;Gamma-3:3),50,5,1,0.5,0.12,0.25,objective_value,True,200,0,rand_test_13,20221231:16:31:42
algorithm,Constant-Weights(Gamma-1:3;Gamma-2:3;Gamma-3:3),50,5,1,0.5,0.12,0.25,distance,True,200,0,rand_test_13,20221231:16:38:04
algorithm,Constant-Weights(Gamma-1:3;Gamma-2:3;Gamma-3:3),50,5,1,0.5,0.24,0.5,objective_value,True,200,0,rand_test_13,20221231:16:44:20
algorithm,Constant-Weights(Gamma-1:3;Gamma-2:3;Gamma-3:3),50,5,1,0.5,0.24,0.5,distance,True,200,0,rand_test_13,20221231:16:51:11
algorithm,Constant-Weights(Gamma-1:3;Gamma-2:3;Gamma-3:3),50,5,1,0.5,0.24,0.75,objective_value,True,200,0,rand_test_13,20221231:16:57:51
algorithm,Constant-Weights(Gamma-1:3;Gamma-2:3;Gamma-3:3),50,5,1,0.5,0.24,0.75,distance,True,200,0,rand_test_13,20221231:17:03:45
algorithm,Constant-Weights(Gamma-1:3;Gamma-2:3;Gamma-3:3),50,5,1,0.5,0.24,0.25,objective_value,True,200,0,rand_test_13,20221231:17:10:18
algorithm,Constant-Weights(Gamma-1:3;Gamma-2:3;Gamma-3:3),50,5,1,0.5,0.24,0.25,distance,True,200,0,rand_test_13,20221231:17:17:09
algorithm,Constant-Weights(Gamma-1:3;Gamma-2:3;Gamma-3:3),50,5,0.5,1,0.02,0.5,objective_value,True,200,0,rand_test_13,20221231:17:22:50
