9 51 1830 1320 8 1333
256
272
148
220
218
100
204
270
268
244
55 55
23 23
33 33
24 24
27 27
52 52
35 35
49 49
46 46
85 85
54 54
80 80
91 91
25 25
22 22
35 35
14 14
25 25
18 18
24 24
4 4
15 15
23 23
34 34
60 60
65 65
58 58
33 33
30 30
12 12
8 8
68 68
11 11
10 10
11 11
17 17
20 20
14 14
17 17
33 33
46 46
38 38
13 13
20 20
23 23
65 65
22 22
6 6
18 18
65 65
100 100
   0    1  561
   0    2  789
   0    3 1121
   0    4  729
   0    5  396
   0    6  260
   0    7  360
   0    8  287
   0    9   46
   0   10  666
   0   11  281
   0   12  396
   0   13  291
   0   14  326
   0   15  641
   0   16  427
   0   17  600
   0   18  561
   0   19 1041
   0   20  655
   0   21  975
   0   22 1121
   0   23  299
   0   24  260
   0   25  430
   0   26  162
   0   27  305
   0   28  210
   0   29  287
   0   30   46
   0   31  181
   0   32  275
   0   33  410
   0   34  729
   0   35  799
   0   36  707
   0   37  406
   0   38  360
   0   39  146
   0   40   91
   0   41  827
   0   42  135
   0   43  122
   0   44  125
   0   45  208
   0   46  240
   0   47  166
   0   48  209
   0   49  395
   0   50  566
   0   51  464
   0   52  154
   0   53  240
   0   54  280
   0   55  791
   0   56  267
   0   57   64
   0   58  217
   0   59  789
   0   60 1220
   1    2  800
   1    3 1428
   1    4 1050
   1    5  534
   1    6  764
   1    7  912
   1    8  751
   1    9  560
   1   10 1133
   1   11  487
   1   12  534
   1   13  513
   1   14  523
   1   15 1096
   1   16  180
   1   17   83
   1   18    0
   1   19 1083
   1   20  792
   1   21 1237
   1   22 1428
   1   23  490
   1   24  764
   1   25  686
   1   26  548
   1   27  291
   1   28  770
   1   29  751
   1   30  560
   1   31  735
   1   32  538
   1   33  639
   1   34 1050
   1   35 1055
   1   36  945
   1   37  950
   1   38  912
   1   39  619
   1   40  471
   1   41  501
   1   42  552
   1   43  536
   1   44  521
   1   45  534
   1   46  506
   1   47  500
   1   48  492
   1   49  244
   1   50 1032
   1   51  308
   1   52  632
   1   53  329
   1   54  670
   1   55 1185
   1   56  550
   1   57  507
   1   58  772
   1   59  800
   1   60 1404
   2    3  745
   2    4  496
   2    5  397
   2    6  710
   2    7 1044
   2    8 1072
   2    9  832
   2   10 1422
   2   11  995
   2   12  397
   2   13  500
   2   14  465
   2   15 1405
   2   16  860
   2   17  883
   2   18  800
   2   19  285
   2   20  188
   2   21  540
   2   22  745
   2   23  497
   2   24  710
   2   25 1197
   2   26  929
   2   27  843
   2   28  859
   2   29 1072
   2   30  832
   2   31  914
   2   32  515
   2   33  393
   2   34  496
   2   35  410
   2   36  337
   2   37  871
   2   38 1044
   2   39  936
   2   40  767
   2   41  475
   2   42  656
   2   43  668
   2   44  665
   2   45  581
   2   46  551
   2   47  626
   2   48  585
   2   49  896
   2   50 1329
   2   51  504
   2   52  678
   2   53  790
   2   54  564
   2   55  682
   2   56  523
   2   57  742
   2   58  830
   2   59    0
   2   60  625
   3    4  396
   3    5  897
   3    6  884
   3    7 1146
   3    8 1313
   3    9 1165
   3   10 1516
   3   11 1400
   3   12  897
   3   13  944
   3   14  923
   3   15 1522
   3   16 1414
   3   17 1507
   3   18 1428
   3   19  620
   3   20  653
   3   21  206
   3   22    0
   3   23  962
   3   24  884
   3   25 1534
   3   26 1281
   3   27 1341
   3   28 1035
   3   29 1313
   3   30 1165
   3   31 1127
   3   32  931
   3   33  799
   3   34  396
   3   35  374
   3   36  484
   3   37  887
   3   38 1146
   3   39 1239
   3   40 1161
   3   41 1216
   3   42 1010
   3   43 1031
   3   44 1039
   3   45  971
   3   46  975
   3   47 1026
   3   48 1004
   3   49 1423
   3   50 1457
   3   51 1125
   3   52  966
   3   53 1268
   3   54  849
   3   55  365
   3   56  925
   3   57 1114
   3   58 1000
   3   59  745
   3   60  319
   4    5  516
   4    6  506
   4    7  805
   4    8  941
   4    9  774
   4   10 1192
   4   11 1006
   4   12  516
   4   13  552
   4   14  533
   4   15 1190
   4   16 1023
   4   17 1126
   4   18 1050
   4   19  541
   4   20  335
   4   21  254
   4   22  396
   4   23  571
   4   24  506
   4   25 1149
   4   26  890
   4   27  945
   4   28  666
   4   29  941
   4   30  774
   4   31  754
   4   32  537
   4   33  412
   4   34    0
   4   35  126
   4   36  159
   4   37  559
   4   38  805
   4   39  853
   4   40  766
   4   41  917
   4   42  614
   4   43  635
   4   44  644
   4   45  576
   4   46  580
   4   47  630
   4   48  609
   4   49 1029
   4   50 1120
   4   51  756
   4   52  575
   4   53  872
   4   54  454
   4   55  186
   4   56  531
   4   57  719
   4   58  631
   4   59  496
   4   60  525
   5    6  384
   5    7  690
   5    8  681
   5    9  437
   5   10 1047
   5   11  604
   5   12    0
   5   13  104
   5   14   70
   5   15 1026
   5   16  525
   5   17  611
   5   18  534
   5   19  663
   5   20  294
