Instance_Name,Objective_Value,Sum_of_Trips,Penalties,Hotel_Fees,Max_Trip_Length,Number_Of_Trips,Prize,Time
test,1280,480,800,0,480,1,1000,TO-BE-IMPLEMENTED
rc101_1,235,235,0,0,235,1,1000,TO-BE-IMPLEMENTED
pr8_1,102304,2304,0,100000,1925,2,3000,TO-BE-IMPLEMENTED
eil51_1,523,332,191,0,332,1,586,TO-BE-IMPLEMENTED
berlin51_1,910253,10253,0,900000,1146,10,5100,TO-BE-IMPLEMENTED
berlin52_2,9408,7769,429,1210,1274,7,1347,TO-BE-IMPLEMENTED
berlin52_3,7955,6150,849,956,1107,7,927,TO-BE-IMPLEMENTED
rc101_2,701843,1843,0,700000,235,8,10000,TO-BE-IMPLEMENTED
rc101_3,1585,635,684,266,239,3,2218,TO-BE-IMPLEMENTED
pr8_2,307818,7818,0,300000,1999,4,14400,TO-BE-IMPLEMENTED
gil250_1,102115,2115,0,100000,1282,2,9083,TO-BE-IMPLEMENTED
gil262_1,6916,2538,2996,1382,320,9,9110,TO-BE-IMPLEMENTED
a280_1,703965,3965,0,700000,515,8,27900,TO-BE-IMPLEMENTED
