Instance_Name,Number_Of_Customers,Number_Of_Hotels,Objective_Value,Sum_of_Trips,Penalties,Hotel_Fees,Max_Trip_Length,Number_Of_Trips,Prize,Time,Trace
gil250_1,249,1,101717,1717,0,100000,1195,2,9083,10,[101950, 101717, 101747, 101939, 101746]
gil250_1,249,1,101716,1716,0,100000,1193,2,9081,10,[101950, 101717, 101717, 101716, 101716, 101743]
gil250_1,249,1,101717,1717,0,100000,1195,2,9083,10,[101950, 101717, 101727, 101727, 101740, 101731]
gil250_1,249,1,101717,1717,0,100000,1195,2,9083,10,[101950, 101717, 101717, 101739, 101816]
gil250_1,249,1,101704,1704,0,100000,1182,2,9083,10,[101950, 101717, 101717, 101717, 201913, 101704]
gil250_1,249,1,101717,1717,0,100000,1195,2,9083,10,[101950, 101717, 101717, 101739, 101771]
gil250_1,249,1,101717,1717,0,100000,1195,2,9083,10,[101950, 101717, 101820, 101809, 101803]
gil250_1,249,1,101703,1703,0,100000,1170,2,9094,10,[101950, 101717, 101706, 101706, 101703, 101754]
gil250_1,249,1,101713,1713,0,100000,866,2,9084,10,[101950, 101717, 101717, 101713, 101772, 101804]
gil250_1,249,1,101717,1717,0,100000,1195,2,9083,10,[101950, 101717, 101717, 101733, 101721, 101802]

