Instance_Name,Index,Number_Of_Customers,Number_Of_Hotels,Objective_Value,Sum_of_Trips,Penalties,Hotel_Fees,Max_Trip_Length,Number_Of_Trips,Prize,Time,Trace,alpha,beta,gamma,delta
test,0,3,2,1280,480,800,0,480,1,1000,3.0279159545898438e-05,[1280],1.1587974847929106,-0.5276901662190647,-1.280828706461195,-0.5283686845637061
test,1,3,2,1280,480,800,0,480,1,1000,3.266334533691406e-05,[1280],-0.4470654119906209,-0.07728286309744148,0.10761384245142658,0.6043971299311549
test,2,3,2,1280,480,800,0,480,1,1000,3.0517578125e-05,[1280],-0.056484091970349315,-1.9299462902506341,-0.9450878095639411,0.9009232555429909
test,3,3,2,1070,970,0,100,600,2,2000,0.00013756752014160156,[1070],0.13569303685855216,-0.18889345247421446,0.27888092177380164,-0.8162933783058386
test,4,3,2,1280,480,800,0,480,1,1000,3.0279159545898438e-05,[1280],1.7775812979562646,-1.593230264833147,-0.5029251312830197,1.6856705125722857
test,5,3,2,1280,480,800,0,480,1,1000,3.504753112792969e-05,[1280],2.1746429331524997,-2.1191700411574637,-0.663720521123491,0.07633314211988756
test,6,3,2,1280,980,300,0,500,2,1100,0.00011754035949707031,[1280],-0.6165052014201338,-1.0858145805310606,0.2927362400347149,0.6518081501147518
test,7,3,2,1280,480,800,0,480,1,1000,3.457069396972656e-05,[1280],0.9002682033530747,-1.0845824584524402,-1.3152879608561348,0.7627902598080567
test,8,3,2,1280,480,800,0,480,1,1000,4.792213439941406e-05,[1280],0.6553962617708329,0.5449571758076335,-0.5066051888893014,-0.09712760322964231
test,9,3,2,1070,970,0,100,600,2,2000,0.00016498565673828125,[1070],2.2130774816957115,0.22935241348380753,0.8001815664105945,1.1390433471075039
test,10,3,2,1280,480,800,0,480,1,1000,3.0994415283203125e-05,[1280],0.5991175608155227,-0.17906512639822986,-0.25448868984821527,0.9100245079680127
test,11,3,2,1070,970,0,100,600,2,2000,0.00017189979553222656,[1070],1.7184620190263595,0.7300789244588015,-1.176386145476409,0.642945530207587
test,12,3,2,1070,970,0,100,600,2,2000,0.0001728534698486328,[1070],2.2322183265707958,0.2955679467647758,0.014149394155148598,0.5766866849017371
test,13,3,2,1280,480,800,0,480,1,1000,3.147125244140625e-05,[1280],0.7985389266993149,0.7061843054156269,-0.16889246395429308,-0.8266312631940451
test,14,3,2,1280,480,800,0,480,1,1000,2.9802322387695312e-05,[1280],-0.6759667707846351,-0.7786375581809925,-0.770014589084248,-0.8970463596448792
test,15,3,2,1280,980,300,0,500,2,1100,0.00014710426330566406,[1280],0.11604065103452116,0.6582044478527584,0.8682911737705679,0.42316188553668416
test,16,3,2,1280,480,800,0,480,1,1000,4.172325134277344e-05,[1280],1.2684585392155427,-0.47091141568690476,-1.119911373032132,0.5808482964999594
test,17,3,2,1280,480,800,0,480,1,1000,3.1948089599609375e-05,[1280],1.7988968471425846,-0.10675719788896687,-0.19668904616730987,-0.04132212766611687
test,18,3,2,1280,980,300,0,500,2,1100,0.00011491775512695312,[1280],0.4233969704064661,-0.7493691797914692,-0.5571186760065651,2.0226666962998303
test,19,3,2,1280,480,800,0,480,1,1000,3.075599670410156e-05,[1280],0.5872634055152496,-0.0316817481151378,-0.9558835969755523,0.5901305942274773
test,20,3,2,1280,480,800,0,480,1,1000,3.0517578125e-05,[1280],-0.5471686294900424,-0.9562583992236697,-1.0817291718129063,2.1234452581624677
test,21,3,2,1070,970,0,100,600,2,2000,0.0001373291015625,[1070],2.009934574577782,0.7003043086276266,0.6886145556128009,0.3166138590344356
test,22,3,2,1280,480,800,0,480,1,1000,3.3855438232421875e-05,[1280],0.48755015980979477,-0.5329186849830505,-2.095436864098245,1.7772281385128466
test,23,3,2,1280,480,800,0,480,1,1000,3.4332275390625e-05,[1280],1.2715024269929551,0.993468089267957,0.290394107191669,0.8285567076522167
test,24,3,2,1280,480,800,0,480,1,1000,4.673004150390625e-05,[1280],-0.8158379513300205,-0.007680484137070176,-0.2746588930275067,0.8525595056368687
test,25,3,2,1280,480,800,0,480,1,1000,3.695487976074219e-05,[1280],1.3830553881891687,-0.5126599206743127,-1.0451330091370261,0.016208138854562126
test,26,3,2,1280,480,800,0,480,1,1000,3.170967102050781e-05,[1280],0.4907314516258237,-1.5225517999896032,-1.9404827897181414,1.8316844274812796
test,27,3,2,1070,970,0,100,600,2,2000,0.00017595291137695312,[1070],1.8143653434145635,-2.2837239476315707,-0.0138564975961466,-0.38760476855090087
test,28,3,2,1280,980,300,0,500,2,1100,0.00011754035949707031,[1280],0.9994227738953116,1.1844661265615657,-0.9995843160848485,1.7787988483082333
test,29,3,2,1070,970,0,100,600,2,2000,0.0001380443572998047,[1070],0.7376214467983353,-0.044155692938481594,-0.35616630736999666,-0.7585489818860833
test,30,3,2,1280,480,800,0,480,1,1000,3.0040740966796875e-05,[1280],-0.24436023688102915,0.44800323987138735,-0.5272897010406316,0.26321703718977885
test,31,3,2,1280,480,800,0,480,1,1000,3.0279159545898438e-05,[1280],-0.04945947449254118,-0.9201027182056754,0.8785276064797454,-0.5828521738124441
test,32,3,2,1280,480,800,0,480,1,1000,3.1948089599609375e-05,[1280],1.2540470367146266,-1.0316049116317554,-1.0510973488427675,0.5617682082265505
test,33,3,2,1280,480,800,0,480,1,1000,3.24249267578125e-05,[1280],-1.1710124219531337,0.6893195080809162,-0.12422663294022307,-0.5388222334989023
test,34,3,2,1280,480,800,0,480,1,1000,2.9802322387695312e-05,[1280],-0.7641201167811302,0.012328592335957178,-0.999892297269558,1.5085735529321047
test,35,3,2,1280,980,300,0,500,2,1100,0.0001494884490966797,[1280],0.5559224051359807,0.2816922875745015,-0.41943991662099145,0.9623090193626137
test,36,3,2,1280,980,300,0,500,2,1100,0.0001494884490966797,[1280],0.0032595050359025546,-0.2998251204501085,0.8218503945830866,0.3857359198228791
test,37,3,2,1280,480,800,0,480,1,1000,3.528594970703125e-05,[1280],3.38016680007869,-1.3022686026911026,-1.2591934056808278,0.1243611498497581
test,38,3,2,1280,480,800,0,480,1,1000,3.075599670410156e-05,[1280],-0.6130636104343177,-0.7277688629072633,0.24221298282320347,2.3109726985662404
test,39,3,2,1070,970,0,100,600,2,2000,0.00017499923706054688,[1070],0.4081394891334542,0.22274465163996882,-1.9656339769971578,-0.03550278061444434
test,40,3,2,1280,480,800,0,480,1,1000,3.1948089599609375e-05,[1280],-0.3032590403361173,-0.8342231792808859,-1.0027406877462055,1.575878349228423
test,41,3,2,1280,480,800,0,480,1,1000,3.3855438232421875e-05,[1280],-0.6018940198817453,-1.2379143183974834,0.16189664457226882,0.49832644609278304
test,42,3,2,1070,970,0,100,600,2,2000,0.0002391338348388672,[1070],1.337864028597947,-1.7772459223512627,0.08428420187892072,-1.8751600247780478
test,43,3,2,1070,970,0,100,600,2,2000,0.00018668174743652344,[1070],1.8489401294506447,-1.6393451747428027,0.3282651304770855,-0.2315665903245605
test,44,3,2,1280,980,300,0,500,2,1100,0.00012731552124023438,[1280],-0.3085700485623374,0.021079107116503626,0.5910310588862457,1.812054052355971
test,45,3,2,1280,480,800,0,480,1,1000,3.504753112792969e-05,[1280],-0.0556576410595262,0.5533270010730069,-0.9910844453471599,-0.14316271063507635
test,46,3,2,1280,480,800,0,480,1,1000,2.9802322387695312e-05,[1280],-0.39967351116562855,-0.10996510117764746,0.4833728865383551,1.5457767457928164
test,47,3,2,1280,980,300,0,500,2,1100,0.00011515617370605469,[1280],-0.44636541129321083,-0.06640619179529184,-0.7446521333047211,0.6033772747967875
test,48,3,2,1280,480,800,0,480,1,1000,3.0279159545898438e-05,[1280],0.547443230361753,0.8708599700717115,-2.121976077689086,-2.0870827729731722
test,49,3,2,1280,480,800,0,480,1,1000,3.218650817871094e-05,[1280],0.9035841001880884,-2.4757225145646435,-0.31626235932025404,1.1653474605002414
rc101_1,0,10,2,100413,413,0,100000,208,2,1000,0.0003330707550048828,[100413],-0.4156406594182138,0.38142189767106915,-2.7744419570756373,-0.2990804033559883
rc101_1,1,10,2,100258,258,0,100000,153,2,1000,0.0003719329833984375,[100258],1.8432652776187712,-0.8687442642791547,0.05570589669688053,1.5355184952845333
rc101_1,2,10,2,100292,292,0,100000,197,2,1000,0.0002856254577636719,[100292],0.48719613034009696,0.1226430747127476,0.7544335294387665,-0.4375032563593153
rc101_1,3,10,2,100264,264,0,100000,159,2,1000,0.0003666877746582031,[100264],0.7274125425797593,-0.21368030392984977,-1.9887688281896654,0.2302043039415877
rc101_1,4,10,2,100252,252,0,100000,214,2,1000,0.0002803802490234375,[100252],1.3956091415298202,0.5035551909713478,0.38784654810648433,-1.7823845871859634
rc101_1,5,10,2,100259,259,0,100000,154,2,1000,0.000385284423828125,[100259],0.8446521996288265,-0.41506678810040576,0.4221677286378198,-2.5525043781658434
rc101_1,6,10,2,200523,523,0,200000,236,3,1000,0.0004143714904785156,[200523],-0.6676445523522263,0.37290830491688376,-1.201605760139474,0.0995585699451445
rc101_1,7,10,2,100267,267,0,100000,229,2,1000,0.0002827644348144531,[100267],2.6318556043822543,-1.3116747850005122,-3.2041626774507614,1.5653582819622223
rc101_1,8,10,2,100263,263,0,100000,158,2,1000,0.0003619194030761719,[100263],0.21412322831890818,-3.4840316930536357,0.420051100437995,0.08939520810503887
rc101_1,9,10,2,100456,456,0,100000,234,2,1000,0.0003154277801513672,[100456],-0.38767271798784797,-1.7477459149585868,-0.39687666892013257,1.886441328150033
rc101_1,10,10,2,100259,259,0,100000,154,2,1000,0.0003669261932373047,[100259],0.19474066749818802,-2.490093042418808,-2.556797544414138,-0.06672619124395818
rc101_1,11,10,2,100262,262,0,100000,157,2,1000,0.0003695487976074219,[100262],1.2394472576331184,-0.5057996236777175,-1.7026830712483267,1.8828514205541558
rc101_1,12,10,2,100303,303,0,100000,227,2,1000,0.0006926059722900391,[100303],0.28268912826667475,-0.3516316338744423,-1.503776485149726,0.9502310918502389
rc101_1,13,10,2,100268,268,0,100000,163,2,1000,0.0003666877746582031,[100268],0.25662693968862205,-0.15972396421954504,-0.05639552793058061,1.278766026047271
rc101_1,14,10,2,100312,312,0,100000,236,2,1000,0.00033092498779296875,[100312],1.4136787333559013,-1.7295396584294562,0.15258303390665284,0.7374442586343241
rc101_1,15,10,2,100464,464,0,100000,234,2,1000,0.0002932548522949219,[100464],-0.07051309517392801,-0.7127813615583849,-0.3962735905505338,1.1255176230224224
rc101_1,16,10,2,100459,459,0,100000,238,2,1000,0.0002980232238769531,[100459],-0.217976965146625,-0.8588569474560592,0.25244272443392424,0.7942446835764404
rc101_1,17,10,2,100450,450,0,100000,225,2,1000,0.00028324127197265625,[100450],-0.8488769673604672,-0.3022463474534738,-1.0829191611612066,0.6441151330052485
rc101_1,18,10,2,236,236,0,0,236,1,1000,0.00025272369384765625,[236],1.1267408971370383,0.07512410385377988,-0.1652423694263701,1.1404874429131469
rc101_1,19,10,2,100261,261,0,100000,156,2,1000,0.0003838539123535156,[100261],0.24263104048198825,-0.9853663628372256,-0.41379593151907057,0.16378680718792393
