Instance_Name,Index,Number_Of_Customers,Number_Of_Hotels,Objective_Value,Sum_of_Trips,Penalties,Hotel_Fees,Max_Trip_Length,Number_Of_Trips,Prize,Time,Trace
test,0,3,2,1070,970,0,100,600,2,2000,0.00014543533325195312,[1070]
test,1,3,2,1280,480,800,0,480,1,1000,3.123283386230469e-05,[1280]
test,2,3,2,1280,980,300,0,500,2,1100,0.0001533031463623047,[1280]
test,3,3,2,1280,480,800,0,480,1,1000,3.314018249511719e-05,[1280]
test,4,3,2,1280,480,800,0,480,1,1000,2.9802322387695312e-05,[1280]
test,5,3,2,1280,480,800,0,480,1,1000,3.147125244140625e-05,[1280]
test,6,3,2,1280,480,800,0,480,1,1000,3.62396240234375e-05,[1280]
test,7,3,2,1070,970,0,100,600,2,2000,0.0001437664031982422,[1070]
test,8,3,2,1070,970,0,100,600,2,2000,0.00019407272338867188,[1070]
test,9,3,2,1280,980,300,0,500,2,1100,0.000148773193359375,[1280]
test,10,3,2,1280,480,800,0,480,1,1000,3.0040740966796875e-05,[1280]
test,11,3,2,1070,970,0,100,600,2,2000,0.00013875961303710938,[1070]
test,12,3,2,1280,480,800,0,480,1,1000,2.956390380859375e-05,[1280]
test,13,3,2,1280,980,300,0,500,2,1100,0.00016617774963378906,[1280]
test,14,3,2,1280,480,800,0,480,1,1000,3.409385681152344e-05,[1280]
test,15,3,2,1280,480,800,0,480,1,1000,5.173683166503906e-05,[1280]
test,16,3,2,1070,970,0,100,600,2,2000,0.0002994537353515625,[1070]
test,17,3,2,1280,480,800,0,480,1,1000,4.315376281738281e-05,[1280]
test,18,3,2,1280,480,800,0,480,1,1000,3.266334533691406e-05,[1280]
test,19,3,2,1280,480,800,0,480,1,1000,4.57763671875e-05,[1280]
test,20,3,2,1280,480,800,0,480,1,1000,5.14984130859375e-05,[1280]
test,21,3,2,1280,480,800,0,480,1,1000,4.935264587402344e-05,[1280]
test,22,3,2,1280,980,300,0,500,2,1100,0.00012421607971191406,[1280]
test,23,3,2,1280,480,800,0,480,1,1000,7.128715515136719e-05,[1280]
test,24,3,2,1280,480,800,0,480,1,1000,3.4809112548828125e-05,[1280]
test,25,3,2,1280,980,300,0,500,2,1100,0.00012564659118652344,[1280]
test,26,3,2,1070,970,0,100,600,2,2000,0.000156402587890625,[1070]
test,27,3,2,1070,970,0,100,600,2,2000,0.00020074844360351562,[1070]
test,28,3,2,1070,970,0,100,600,2,2000,0.00018978118896484375,[1070]
