type,saw_policy,population_size,random_k,alpha,beta,rho,p,local_information,min_max_ant_system,termination_criterion,iteration,instance,starting-time,fitness
algorithm,Constant-Weights(Gamma-1:3;Gamma-2:3;Gamma-3:3),50,5,1,1,0.24,0.5,objective_value,True,200,0,rand_test_17,20230103:14:01:32,[1523451307.7625;1523451307.7625;1523451307.7625;1523451307.7625;1523451307.7625;1523451307.7625;1523451307.7625;1523451307.7625;1523451307.7625;1523451307.7625]
algorithm,Constant-Weights(Gamma-1:3;Gamma-2:3;Gamma-3:3),50,5,1,1,0.24,0.25,objective_value,True,200,0,rand_test_17,20230103:14:08:18,[1523452017.01875;1523452017.01875;1523452017.01875;1523452017.01875;1523452017.01875;1523452017.01875;1523452017.01875;1523452017.01875;1523452017.01875;1523452017.01875]
algorithm,Constant-Weights(Gamma-1:3;Gamma-2:3;Gamma-3:3),100,5,1,1,0.24,0.5,objective_value,True,200,0,rand_test_17,20230103:14:22:39,[1523450554.3812501;1523450554.3812501;1523450554.3812501;1523450554.3812501;1523450554.3812501;1523450554.3812501;1523450554.3812501;1523450554.3812501;1523450554.3812501;1523450554.3812501]
algorithm,Constant-Weights(Gamma-1:3;Gamma-2:3;Gamma-3:3),100,5,1,1,0.24,0.25,objective_value,True,200,0,rand_test_17,20230103:14:35:51,[1523450871.2562501;1523450871.2562501;1523450871.2562501;1523450871.2562501;1523450871.2562501;1523450871.2562501;1523450871.2562501;1523450871.2562501;1523450871.2562501;1523450871.2562501]
algorithm,Constant-Weights(Gamma-1:3;Gamma-2:3;Gamma-3:3),50,5,1,1,0.24,0.5,objective_value,True,200,1,rand_test_1,20230103:14:42:43,[605315830.625;605315830.625;605315830.625;605315830.625;605315830.625;605315830.625;605315830.625;605315830.625;605315830.625;605315830.625]
algorithm,Constant-Weights(Gamma-1:3;Gamma-2:3;Gamma-3:3),50,5,1,1,0.24,0.25,objective_value,True,200,1,rand_test_1,20230103:14:50:08,[605314870.09375;605314870.09375;605314870.09375;605314870.09375;605314870.09375;605314870.09375;605314870.09375;605314870.09375;605314870.09375;605314870.09375]
algorithm,Constant-Weights(Gamma-1:3;Gamma-2:3;Gamma-3:3),100,5,1,1,0.24,0.5,objective_value,True,200,1,rand_test_1,20230103:15:03:31,[605314515.5;605314515.5;605314515.5;605314515.5;605314515.5;605314515.5;605314515.5;605314515.5;605314515.5;605314515.5]
algorithm,Constant-Weights(Gamma-1:3;Gamma-2:3;Gamma-3:3),100,5,1,1,0.24,0.25,objective_value,True,200,1,rand_test_1,20230103:15:15:57,[605315092.5625;605315092.5625;605315092.5625;605315092.5625;605315092.5625;605315092.5625;605315092.5625;605315092.5625;605315092.5625;605315092.5625]
algorithm,Constant-Weights(Gamma-1:3;Gamma-2:3;Gamma-3:3),50,5,1,1,0.24,0.5,objective_value,True,200,2,rand_test_4,20230103:15:24:09,[819089311.3312501;819089311.3312501;819089311.3312501;819089311.3312501;819089311.3312501;819089311.3312501;819089311.3312501;819089311.3312501;819089311.3312501;819089311.3312501]
algorithm,Constant-Weights(Gamma-1:3;Gamma-2:3;Gamma-3:3),50,5,1,1,0.24,0.25,objective_value,True,200,2,rand_test_4,20230103:15:31:30,[819089688.9;819089688.9;819089688.9;819089688.9;819089688.9;819089688.9;819089688.9;819089688.9;819089688.9;819089688.9]
algorithm,Constant-Weights(Gamma-1:3;Gamma-2:3;Gamma-3:3),100,5,1,1,0.24,0.5,objective_value,True,200,2,rand_test_4,20230103:15:45:30,[819088274.1125001;819088274.1125001;819088274.1125001;819088274.1125001;819088274.1125001;819088274.1125001;819088274.1125001;819088274.1125001;819088274.1125001;819088274.1125001]
