type,saw_policy,percentage_replaced,population_size,neighborhoods,tournament_k,random_k,termination_criterion,alpha,beta,gamma,delta,iteration,instance,starting-time,fitness
algorithm,Constant-Weights(Gamma-1:3;Gamma-2:3;Gamma-3:3),0.05,100,[trip_2_opt;remove_customer;add_customer;remove_hotel;add_hotel;],27,5,400,0.5,-1.0,-0.5,0.5,0,rand_test_13,20230103:13:07:59,[597990804.375;598395870.4375;598124295.25;596957198.5;598348806.5;598062082.125;597762882.8125;597840446.8125;598265731.8125;597903652.3125]
algorithm,Constant-Weights(Gamma-1:3;Gamma-2:3;Gamma-3:3),0.05,100,[trip_2_opt;remove_customer;add_customer;remove_hotel;add_hotel;],50,5,400,0.5,-1.0,-0.5,0.5,0,rand_test_13,20230103:13:17:05,[597516972.625;598570331.0625;598195978.9375;597728718.3125;597595127.4375;597539555.0;597734739.3125;598096152.25;598032272.4375;598226889.25]
algorithm,Constant-Weights(Gamma-1:3;Gamma-2:3;Gamma-3:3),0.05,100,[trip_2_opt;remove_customer;add_customer;remove_hotel;add_hotel;],81,5,400,0.5,-1.0,-0.5,0.5,0,rand_test_13,20230103:13:26:46,[598408777.3125;598393243.5;598470576.1875;597792590.5;597737979.125;598833020.25;598026511.5625;598651223.5625;597823575.625;598963828.125]
algorithm,Constant-Weights(Gamma-1:3;Gamma-2:3;Gamma-3:3),0.05,100,[trip_2_opt;remove_customer;add_customer;remove_hotel;add_hotel;],95,5,400,0.5,-1.0,-0.5,0.5,0,rand_test_13,20230103:13:36:35,[598560129.8125;598376288.25;598896272.125;598135724.5625;598132300.5;597596124.75;598195335.5625;597744683.5625;598328112.875;597616233.75]
algorithm,Constant-Weights(Gamma-1:3;Gamma-2:3;Gamma-3:3),0.1,100,[trip_2_opt;remove_customer;add_customer;remove_hotel;add_hotel;],27,5,400,0.5,-1.0,-0.5,0.5,0,rand_test_13,20230103:13:46:21,[598493182.5625;598260333.5;598439416.0;597505354.375;598289979.625;598434912.3125;598109323.375;598358870.125;598562232.1875;597804571.1875]
algorithm,Constant-Weights(Gamma-1:3;Gamma-2:3;Gamma-3:3),0.1,100,[trip_2_opt;remove_customer;add_customer;remove_hotel;add_hotel;],50,5,400,0.5,-1.0,-0.5,0.5,0,rand_test_13,20230103:13:56:24,[597579201.4375;598513162.75;597904675.1875;598901279.8125;598265213.0625;598099419.125;598667439.9375;598246646.5625;598441112.9375;598286160.0625]
algorithm,Constant-Weights(Gamma-1:3;Gamma-2:3;Gamma-3:3),0.1,100,[trip_2_opt;remove_customer;add_customer;remove_hotel;add_hotel;],81,5,400,0.5,-1.0,-0.5,0.5,0,rand_test_13,20230103:14:05:50,[598731320.0;598604549.6875;598325396.5625;597909024.75;597691535.1875;598762663.9375;598757734.625;598694107.9375;598447642.1875;597808735.9375]
algorithm,Constant-Weights(Gamma-1:3;Gamma-2:3;Gamma-3:3),0.1,100,[trip_2_opt;remove_customer;add_customer;remove_hotel;add_hotel;],95,5,400,0.5,-1.0,-0.5,0.5,0,rand_test_13,20230103:14:16:28,[598085352.75;597621780.875;598015392.0;598501776.4375;597860193.25;598811926.1875;598984030.0625;598521866.1875;599029979.6875;597449918.4375]
algorithm,Constant-Weights(Gamma-1:3;Gamma-2:3;Gamma-3:3),0.2,100,[trip_2_opt;remove_customer;add_customer;remove_hotel;add_hotel;],27,5,400,0.5,-1.0,-0.5,0.5,0,rand_test_13,20230103:14:26:14,[598066341.0;598266343.9375;598567064.125;597678910.3125;597933018.1875;598500672.6875;598447060.0625;597880482.5625;597896744.8125;597730559.0625]
algorithm,Constant-Weights(Gamma-1:3;Gamma-2:3;Gamma-3:3),0.2,100,[trip_2_opt;remove_customer;add_customer;remove_hotel;add_hotel;],50,5,400,0.5,-1.0,-0.5,0.5,0,rand_test_13,20230103:14:35:57,[598145388.3125;597511782.25;597849077.6875;597774185.1875;597980602.75;597956415.75;597588748.3125;597640671.0;598327539.75;598612932.625]
