Instance_Name,Number_Of_Customers,Number_Of_Hotels,Objective_Value,Sum_of_Trips,Penalties,Hotel_Fees,Max_Trip_Length,Number_Of_Trips,Prize,Time,Trace,Neighborhood,Step_Function,Delta-Evaluation

test,3,2,1070,970,0,100,600,2,2000,2.5033950805664062e-05,[1070; 1070],trip_2_opt,Step_Function_Type.FIRST,True

rc101_1,10,2,235,235,0,0,235,1,1000,0.00029277801513671875,[235; 235],trip_2_opt,Step_Function_Type.FIRST,True

pr8_1,30,2,102197,2197,0,100000,1818,2,3000,0.015119314193725586,[102304; 102297; 102293; 102279; 102271; 102242; 102220; 102218; 102197; 102197],trip_2_opt,Step_Function_Type.FIRST,True

eil51_1,50,1,501,322,179,0,322,1,598,0.012439966201782227,[515; 507; 501; 501],trip_2_opt,Step_Function_Type.FIRST,True

berlin51_1,51,10,909748,9748,0,900000,1146,10,5100,0.010642290115356445,[910253; 910216; 910211; 910157; 910095; 910015; 909995; 909750; 909748; 909748],trip_2_opt,Step_Function_Type.FIRST,True

berlin52_2,51,10,8196,6774,360,1062,1313,6,1416,0.007964372634887695,[8567; 8528; 8523; 8462; 8442; 8196; 8196],trip_2_opt,Step_Function_Type.FIRST,True

berlin52_3,51,10,6464,4941,879,644,1148,5,897,0.005327939987182617,[6704; 6665; 6660; 6605; 6544; 6464; 6464],trip_2_opt,Step_Function_Type.FIRST,True

rc101_2,100,6,701824,1824,0,700000,234,8,10000,0.022711992263793945,[701843; 701842; 701839; 701828; 701827; 701826; 701825; 701824; 701824],trip_2_opt,Step_Function_Type.FIRST,True

rc101_3,100,6,1504,590,692,222,209,3,2210,0.06324172019958496,[1547; 1546; 1545; 1542; 1530; 1529; 1525; 1521; 1520; 1515; 1513; 1511; 1507; 1504; 1504],trip_2_opt,Step_Function_Type.FIRST,True

pr8_2,144,6,307413,7413,0,300000,1996,4,14400,0.31455206871032715,[307818; 307815; 307771; 307767; 307764; 307752; 307751; 307747; 307730; 307725; 307712; 307706; 307679; 307677; 307662; 307653; 307646; 307630; 307628; 307490; 307482; 307481; 307474; 307413; 307413],trip_2_opt,Step_Function_Type.FIRST,True

gil250_1,249,1,101785,1785,0,100000,1215,2,9104,1.0625958442687988,[101950; 101949; 101948; 101935; 101927; 101926; 101925; 101923; 101920; 101919; 101909; 101906; 101903; 101899; 101893; 101892; 101889; 101882; 101875; 101871; 101870; 101865; 101864; 101862; 101861; 101860; 101853; 101850; 101841; 101833; 101831; 101816; 101815; 101812; 101810; 101808; 101800; 101795; 101794; 101788; 101785; 101785],trip_2_opt,Step_Function_Type.FIRST,True

gil262_1,249,13,5764,1803,2955,1006,313,6,9151,0.20342540740966797,[5814; 5813; 5810; 5808; 5807; 5805; 5802; 5800; 5798; 5793; 5783; 5779; 5774; 5773; 5772; 5770; 5767; 5764; 5764],trip_2_opt,Step_Function_Type.FIRST,True

a280_1,279,10,703658,3658,0,700000,495,8,27900,1.0073578357696533,[703965; 703960; 703950; 703943; 703940; 703930; 703924; 703917; 703914; 703912; 703910; 703909; 703907; 703901; 703898; 703895; 703894; 703887; 703886; 703876; 703867; 703866; 703863; 703857; 703855; 703849; 703840; 703835; 703834; 703833; 703827; 703820; 703810; 703804; 703801; 703798; 703796; 703790; 703781; 703776; 703765; 703759; 703752; 703747; 703746; 703743; 703724; 703721; 703715; 703709; 703707; 703696; 703692; 703668; 703658; 703658],trip_2_opt,Step_Function_Type.FIRST,True

test,3,2,1070,970,0,100,600,2,2000,4.8160552978515625e-05,[1070; 1070],trip_2_opt,Step_Function_Type.FIRST,False

rc101_1,10,2,235,235,0,0,235,1,1000,0.001413106918334961,[235; 235],trip_2_opt,Step_Function_Type.FIRST,False

pr8_1,30,2,102197,2197,0,100000,1818,2,3000,0.12994718551635742,[102304; 102297; 102293; 102279; 102271; 102242; 102220; 102218; 102197; 102197],trip_2_opt,Step_Function_Type.FIRST,False

eil51_1,50,1,501,322,179,0,322,1,598,0.11638164520263672,[515; 507; 501; 501],trip_2_opt,Step_Function_Type.FIRST,False

berlin51_1,51,10,909748,9748,0,900000,1146,10,5100,0.13370895385742188,[910253; 910216; 910211; 910157; 910095; 910015; 909995; 909750; 909748; 909748],trip_2_opt,Step_Function_Type.FIRST,False

berlin52_2,51,10,8196,6774,360,1062,1313,6,1416,0.09197449684143066,[8567; 8528; 8523; 8462; 8442; 8196; 8196],trip_2_opt,Step_Function_Type.FIRST,False

berlin52_3,51,10,6464,4941,879,644,1148,5,897,0.056659698486328125,[6704; 6665; 6660; 6605; 6544; 6464; 6464],trip_2_opt,Step_Function_Type.FIRST,False

rc101_2,100,6,701824,1824,0,700000,234,8,10000,0.5046486854553223,[701843; 701842; 701839; 701828; 701827; 701826; 701825; 701824; 701824],trip_2_opt,Step_Function_Type.FIRST,False

rc101_3,100,6,1504,590,692,222,209,3,2210,1.118307113647461,[1547; 1546; 1545; 1542; 1530; 1529; 1525; 1521; 1520; 1515; 1513; 1511; 1507; 1504; 1504],trip_2_opt,Step_Function_Type.FIRST,False

pr8_2,144,6,307413,7413,0,300000,1996,4,14400,9.895923614501953,[307818; 307815; 307771; 307767; 307764; 307752; 307751; 307747; 307730; 307725; 307712; 307706; 307679; 307677; 307662; 307653; 307646; 307630; 307628; 307490; 307482; 307481; 307474; 307413; 307413],trip_2_opt,Step_Function_Type.FIRST,False

gil250_1,249,1,101785,1785,0,100000,1215,2,9104,35.53692126274109,[101950; 101949; 101948; 101935; 101927; 101926; 101925; 101923; 101920; 101919; 101909; 101906; 101903; 101899; 101893; 101892; 101889; 101882; 101875; 101871; 101870; 101865; 101864; 101862; 101861; 101860; 101853; 101850; 101841; 101833; 101831; 101816; 101815; 101812; 101810; 101808; 101800; 101795; 101794; 101788; 101785; 101785],trip_2_opt,Step_Function_Type.FIRST,False

gil262_1,249,13,5764,1803,2955,1006,313,6,9151,9.089183807373047,[5814; 5813; 5810; 5808; 5807; 5805; 5802; 5800; 5798; 5793; 5783; 5779; 5774; 5773; 5772; 5770; 5767; 5764; 5764],trip_2_opt,Step_Function_Type.FIRST,False

a280_1,279,10,703658,3658,0,700000,495,8,27900,60,[703965; 703960; 703950; 703943; 703940; 703930; 703924; 703917; 703914; 703912; 703910; 703909; 703907; 703901; 703898; 703895; 703894; 703887; 703886; 703876; 703867; 703866; 703863; 703857; 703855; 703849; 703840; 703835; 703834; 703833; 703827; 703820; 703810; 703804; 703801; 703798; 703796; 703790; 703781; 703776; 703765; 703759; 703752; 703747; 703746; 703743; 703724; 703721; 703715; 703709; 703707; 703696; 703692; 703668; 703658; 703658],trip_2_opt,Step_Function_Type.FIRST,False

