Instance_Name,Number_Of_Customers,Number_Of_Hotels,Objective_Value,Sum_of_Trips,Penalties,Hotel_Fees,Max_Trip_Length,Number_Of_Trips,Prize,Time,Trace

test,3,2,1070,970,0,100,600,2,2000,0.07481217384338379,[1070; 1070; 1730; 2120; 2320; 3540; 5160; 7520; 8660; 11960; 14060; 16980]

test,3,2,1070,970,0,100,600,2,2000,0.060654640197753906,[1070; 1070; 1070; 1070; 1070; 3200; 3400; 4090; 5230; 7870; 11830; 14850]

test,3,2,1070,970,0,100,600,2,2000,0.08059144020080566,[1070; 1070; 1070; 2290; 3040; 3730; 6190; 7810; 10350; 11100; 13180; 16460]

test,3,2,1070,970,0,100,600,2,2000,0.042806386947631836,[1070; 1070; 1070; 1070; 1070; 2690; 4490; 6180; 1280; 3940; 5180; 9040]

test,3,2,1070,970,0,100,600,2,2000,0.03946423530578613,[1070; 1070; 1070; 1070; 1070; 1070; 1070; 4000; 1280; 1280; 1280; 1280]

rc101_1,10,2,235,235,0,0,235,1,1000,0.08788871765136719,[235; 235; 235; 235; 235; 235; 235; 235; 235; 235; 235; 235]

rc101_1,10,2,235,235,0,0,235,1,1000,0.11098814010620117,[235; 235; 235; 235; 235; 235; 235; 235; 235; 235; 235; 235]

rc101_1,10,2,235,235,0,0,235,1,1000,0.08990740776062012,[235; 235; 100242; 100242; 100242; 100242; 100242; 100242; 235; 235; 235; 100309]

rc101_1,10,2,235,235,0,0,235,1,1000,0.09990501403808594,[235; 235; 235; 235; 100241; 100241; 100241; 100241; 100241; 100264; 235; 235]

rc101_1,10,2,235,235,0,0,235,1,1000,0.10164380073547363,[235; 235; 235; 235; 100280; 100277; 100277; 100277; 100278; 100280; 100280; 100297]

pr8_1,30,2,102147,2147,0,100000,1768,2,3000,1.6791753768920898,[102304; 102153; 102153; 102153; 102153; 102153; 102153; 102233; 102147; 102147; 102154; 102154; 102154; 102154; 102147; 102154; 102154; 102154; 102154]

pr8_1,30,2,102147,2147,0,100000,1768,2,3000,1.4789979457855225,[102304; 102153; 102153; 102153; 102153; 102153; 102153; 102153; 102147; 102147; 102147; 102147; 102390; 102344; 102316; 102315; 102315; 102315; 102495]

pr8_1,30,2,102153,2153,0,100000,1774,2,3000,1.0037341117858887,[102304; 102153; 102153; 102153; 102153; 102153; 102332; 102375; 102375; 102424; 102458; 102346]

pr8_1,30,2,102153,2153,0,100000,1774,2,3000,1.1571719646453857,[102304; 102153; 102153; 102153; 102153; 102154; 102154; 102167; 102160; 102160; 102160; 102263]

pr8_1,30,2,102147,2147,0,100000,1768,2,3000,1.45835280418396,[102304; 102153; 102153; 102153; 102153; 102147; 102152; 102152; 102152; 102152; 102147; 102147; 102147; 102147; 102334; 102334]

eil51_1,50,1,413,349,64,0,349,1,713,3.3578667640686035,[515; 413; 100445; 100435; 100452; 100428; 100441; 100454; 100448; 100441; 100420; 100420]

eil51_1,50,1,404,326,78,0,326,1,699,4.144081115722656,[515; 413; 100431; 100431; 404; 100441; 100441; 100441; 100435; 100432; 100431; 100437; 100447; 100438; 100420]

eil51_1,50,1,413,349,64,0,349,1,713,3.4775874614715576,[515; 413; 100436; 100422; 100437; 100449; 100430; 100437; 100428; 100441; 100423; 100423]

eil51_1,50,1,413,349,64,0,349,1,713,3.0348730087280273,[515; 413; 100441; 100450; 100450; 100429; 100422; 100443; 100445; 100441; 100431; 100427]

eil51_1,50,1,413,349,64,0,349,1,713,3.338927984237671,[515; 413; 100420; 100428; 100444; 100447; 100428; 100444; 100421; 100420; 100425; 100439]

berlin51_1,51,10,909649,9649,0,900000,1146,10,5100,0.256481409072876,[910253; 909649; 909649; 909649; 1212882; 1615599; 2120454; 2723553; 3428397; 4237039; 5143413; 6150488]

