Instance_Name,Number_Of_Customers,Number_Of_Hotels,Objective_Value,Sum_of_Trips,Penalties,Hotel_Fees,Max_Trip_Length,Number_Of_Trips,Prize,Time,Trace,Trip_Lengths,Percentate-of-collected-prizes,uses-delta-evaluation,procedure-type,alpha,beta,gamma,delta
test,3,2,1070,970,0,100,600,2,2000,0.0016176700592041016,[1070],[370, 600],1.0,True,backtracking,1,0.2,0.2,0.2
test,3,2,1070,970,0,100,600,2,2000,0.003032207489013672,[1070],[370, 600],1.0,True,backtracking,1,0.2,0.2,0.2
test,3,2,1070,970,0,100,600,2,2000,0.0018284320831298828,[1070],[370, 600],1.0,True,backtracking,1,0.2,0.2,0.2
test,3,2,1070,970,0,100,600,2,2000,0.0016682147979736328,[1070],[370, 600],1.0,True,backtracking,1,0.2,0.2,0.2
test,3,2,1070,970,0,100,600,2,2000,0.00185394287109375,[1070],[370, 600],1.0,True,backtracking,1,0.2,0.2,0.2
test,3,2,1070,970,0,100,600,2,2000,0.0027260780334472656,[1070],[370, 600],1.0,True,backtracking,1,0.2,0.2,0.2
test,3,2,1070,970,0,100,600,2,2000,0.0025093555450439453,[1070],[370, 600],1.0,True,backtracking,1,0.2,0.2,0.2
test,3,2,1070,970,0,100,600,2,2000,0.0020432472229003906,[1070],[370, 600],1.0,True,backtracking,1,0.2,0.2,0.2
rc101_1,10,2,235,235,0,0,235,1,1000,0.028794527053833008,[235],[235],1.0,True,insertion-heuristic-sum-of-trips,1,0,0,0
pr8_1,30,2,102304,2304,0,100000,1925,2,3000,0.3802189826965332,[102304],[1925, 379],1.0,True,pure-greedy,1,0,0,0
eil51_1,50,1,515,336,179,0,336,1,598,0.8925154209136963,[515],[336],0.7696267696267697,True,pure-greedy,2,-0.25,0.05,0.5
test,3,2,1070,970,0,100,600,2,2000,0.001961946487426758,[1070],[370, 600],1.0,True,backtracking,1,0.2,0.2,0.2
rc101_1,10,2,235,235,0,0,235,1,1000,0.03326702117919922,[235],[235],1.0,True,insertion-heuristic-sum-of-trips,1,0,0,0
pr8_1,30,2,102304,2304,0,100000,1925,2,3000,0.35804152488708496,[102304],[1925, 379],1.0,True,pure-greedy,1,0,0,0
test,3,2,1070,970,0,100,600,2,2000,0.0021638870239257812,[1070],[370, 600],1.0,True,backtracking,1,0.2,0.2,0.2
rand_21,289,13,4785,2488,856,1441,315,8,11334,226.15302681922913,[4785],[313, 315, 315, 308, 314, 308, 309, 306],0.7512427918075164,True,backtracking,1,0.2,0.2,0.2
